location,date,vaccine,total_vaccinations
Spain,2021-01-08,Johnson&Johnson,0
Spain,2021-04-23,Johnson&Johnson,34011
Spain,2021-04-30,Johnson&Johnson,132313
Spain,2021-05-07,Johnson&Johnson,194386
Spain,2021-05-14,Johnson&Johnson,228918
Spain,2021-05-21,Johnson&Johnson,326942
Spain,2021-05-28,Johnson&Johnson,443798
Spain,2021-06-04,Johnson&Johnson,631205
Spain,2021-06-11,Johnson&Johnson,862967
Spain,2021-06-18,Johnson&Johnson,1060336
Spain,2021-06-25,Johnson&Johnson,1225439
Spain,2021-07-02,Johnson&Johnson,1365535
Spain,2021-07-09,Johnson&Johnson,1501236
Spain,2021-07-16,Johnson&Johnson,1644996
Spain,2021-07-23,Johnson&Johnson,1782416
Spain,2021-07-30,Johnson&Johnson,1839613
Spain,2021-08-06,Johnson&Johnson,1886860
Spain,2021-08-13,Johnson&Johnson,1918053
Spain,2021-08-20,Johnson&Johnson,1932769
Spain,2021-08-27,Johnson&Johnson,1945637
Spain,2021-09-03,Johnson&Johnson,1953495
Spain,2021-09-10,Johnson&Johnson,1958757
Spain,2021-09-17,Johnson&Johnson,1963277
Spain,2021-09-24,Johnson&Johnson,1967761
Spain,2021-10-01,Johnson&Johnson,1971183
Spain,2021-10-08,Johnson&Johnson,1974076
Spain,2021-10-15,Johnson&Johnson,1976279
Spain,2021-10-22,Johnson&Johnson,1978800
Spain,2021-10-29,Johnson&Johnson,1980386
Spain,2021-11-05,Johnson&Johnson,1980977
Spain,2021-11-12,Johnson&Johnson,1981323
Spain,2021-11-19,Johnson&Johnson,1981494
Spain,2021-11-26,Johnson&Johnson,1981688
Spain,2021-12-03,Johnson&Johnson,1981769
Spain,2021-12-10,Johnson&Johnson,1981829
Spain,2021-12-17,Johnson&Johnson,1981905
Spain,2021-12-24,Johnson&Johnson,1981957
Spain,2021-12-31,Johnson&Johnson,1981989
Spain,2022-01-07,Johnson&Johnson,1981996
Spain,2022-01-14,Johnson&Johnson,1982026
Spain,2022-01-21,Johnson&Johnson,1982043
Spain,2022-01-28,Johnson&Johnson,1982063
Spain,2022-02-04,Johnson&Johnson,1982071
Spain,2022-02-11,Johnson&Johnson,1982088
Spain,2022-02-18,Johnson&Johnson,1982092
Spain,2022-02-25,Johnson&Johnson,1982110
Spain,2022-03-04,Johnson&Johnson,1982141
Spain,2022-03-11,Johnson&Johnson,1982142
Spain,2022-03-18,Johnson&Johnson,1982144
Spain,2022-03-25,Johnson&Johnson,1982159
Spain,2022-04-01,Johnson&Johnson,1982163
Spain,2022-04-08,Johnson&Johnson,1982167
Spain,2022-06-10,Johnson&Johnson,1982170
Spain,2022-06-17,Johnson&Johnson,1982172
Spain,2022-07-01,Johnson&Johnson,1982174
Spain,2022-08-19,Johnson&Johnson,1982175
Spain,2022-09-30,Johnson&Johnson,1982176
Spain,2022-10-21,Johnson&Johnson,1982177
Spain,2022-11-11,Johnson&Johnson,1982178
Spain,2022-12-09,Johnson&Johnson,1982179
Spain,2022-12-23,Johnson&Johnson,1982180
Spain,2023-01-20,Johnson&Johnson,1982181
Spain,2021-01-08,Moderna,0
Spain,2021-01-15,Moderna,7272
Spain,2021-01-22,Moderna,25728
Spain,2021-01-29,Moderna,29630
Spain,2021-02-05,Moderna,49911
Spain,2021-02-12,Moderna,99107
Spain,2021-02-19,Moderna,139013
Spain,2021-02-26,Moderna,152995
Spain,2021-03-05,Moderna,200351
Spain,2021-03-12,Moderna,258341
Spain,2021-03-19,Moderna,345871
Spain,2021-03-26,Moderna,447376
Spain,2021-04-02,Moderna,550194
Spain,2021-04-09,Moderna,619905
Spain,2021-04-16,Moderna,794217
Spain,2021-04-23,Moderna,965817
Spain,2021-04-30,Moderna,1128984
Spain,2021-05-07,Moderna,1342232
Spain,2021-05-14,Moderna,1785926
Spain,2021-05-21,Moderna,2154558
Spain,2021-05-28,Moderna,2493394
Spain,2021-06-04,Moderna,2762505
Spain,2021-06-11,Moderna,3152969
Spain,2021-06-18,Moderna,3507546
Spain,2021-06-25,Moderna,3835689
Spain,2021-07-02,Moderna,4116757
